tube_assembly_id,comp_weight
TA-00217,2.557
TA-00218,0.028
TA-00219,0.028
TA-00220,0.063
TA-00221,0.124
TA-00222,0.042
TA-00223,0.062
TA-00224,0.042
TA-00225,0
TA-00226,0.096
TA-00227,0.076
TA-00228,0.076
TA-00229,0.197
TA-00230,0.076
TA-00231,0.382
TA-00232,0.45
TA-00233,0.096
TA-00234,0.042
TA-00235,0.096
TA-00236,0.382
TA-00237,0.112
TA-00238,0.11
TA-00239,0.11
TA-00240,0.09
TA-00241,0.024
TA-00242,0.024
TA-00243,0.024
TA-00244,0.024
TA-00245,0.041
TA-00246,0.038
TA-00247,0.024
TA-00248,0.042
TA-00249,0.549
TA-00250,0.079
TA-00251,0.262
TA-00252,1.362
TA-00253,1.362
TA-00254,0.11
TA-00255,0
TA-00256,0.018
TA-00257,0.018
TA-00258,0.018
TA-00259,0.018
TA-00260,0.018
TA-00261,0.018
TA-00262,0.018
TA-00263,0.018
TA-00264,0.018
TA-00265,0.018
TA-00266,0.094
TA-00267,0.094
TA-00268,0
TA-00269,0.079
TA-00270,0.112
TA-00271,0.112
TA-00272,0.042
TA-00273,0.096
TA-00274,0.096
TA-00275,0.195
TA-00276,0.028
TA-00277,0.079
TA-00278,0.014
TA-00279,0.042
TA-00280,0.62
TA-00281,0
TA-00282,0.11
TA-00283,0.048
TA-00284,0.028
TA-00285,0
TA-00286,0
TA-00287,0
TA-00288,0
TA-00289,0
TA-00290,0
TA-00291,0
TA-00292,0.042
TA-00293,0.061
TA-00294,0.061
TA-00295,0.061
TA-00296,0.042
TA-00297,0.042
TA-00298,0.042
TA-00299,0.042
TA-00300,0.245
TA-00301,0.122
TA-00302,0.122
TA-00303,0.274
TA-00304,0
TA-00305,0
TA-00306,0.131
TA-00307,0
TA-00308,0.122
TA-00309,0
TA-00310,0.042
TA-00311,0.018
TA-00312,0.042
TA-00313,0.042
TA-00314,0.061
TA-00315,0.061
TA-00316,0.028
TA-00317,0.098
TA-00318,0.098
TA-00319,0.042
TA-00320,0.76
TA-00321,0.679
TA-00322,0
TA-00323,0.042
TA-00324,0.028
TA-00325,0.028
TA-00326,0.028
TA-00327,0.121
TA-00328,0.262
TA-00329,0.188
TA-00330,0.014
TA-00331,0
TA-00332,0
TA-00333,0.387
TA-00334,0.096
TA-00335,0.096
TA-00336,0.096
TA-00337,0.042
TA-00338,0.042
TA-00339,0.096
TA-00340,0.11
TA-00341,0.048
TA-00342,0.028
TA-00343,0.34
TA-00344,0.34
TA-00345,0.509
TA-00346,0.502
TA-00347,0.34
TA-00348,0.324
TA-00349,0.324
TA-00350,0.44
TA-00351,0.061
TA-00352,0.042
TA-00353,0.042
TA-00354,0.11
TA-00355,0.245
TA-00356,0.159
TA-00357,0.146
TA-00358,0.11
TA-00359,0.11
TA-00360,0.11
TA-00361,0.11
TA-00362,0.1
TA-00363,0.1
TA-00364,0.08
TA-00365,0.08
TA-00366,0.1
TA-00367,0.042
TA-00368,0.042
TA-00369,0.042
TA-00370,0.028
TA-00371,0.028
TA-00372,1.36
TA-00373,0
TA-00374,0.2
TA-00375,0.207
TA-00376,0.2
TA-00377,0.2
TA-00378,1.33
TA-00379,0.096
TA-00380,0.096
TA-00381,0.382
TA-00382,0.244
TA-00383,0.114
TA-00384,0.382
TA-00385,0.244
TA-00386,0.042
TA-00387,0.042
TA-00388,0.018
TA-00389,0.018
TA-00390,3.7
TA-00391,3.7
TA-00392,3.7
TA-00393,3.7
TA-00394,0
TA-00395,1.017
TA-00396,0.096
TA-00397,0.096
TA-00398,0.11
TA-00399,0.11
TA-00400,0.11
TA-00401,0.028
TA-00402,0.028
TA-00403,0.01
TA-00404,0
TA-00405,0.02
TA-00406,0
TA-00407,1.36
TA-00408,0.042
TA-00409,0.048
TA-00410,0.028
TA-00411,0.11
TA-00412,0
TA-00413,0.238
TA-00414,0.11
TA-00415,0
TA-00416,0.192
TA-00417,0.192
TA-00418,0.082
TA-00419,0.082
TA-00420,0.082
TA-00421,0.082
TA-00422,0.082
TA-00423,0.082
TA-00424,0.082
TA-00425,0.082
TA-00426,0.082
TA-00427,0.082
TA-00428,0.082
TA-00429,0.082
TA-00430,0.201
TA-00431,1.835
TA-00432,3.7
TA-00433,3.7
TA-00434,0.131
TA-00435,0
TA-00436,0.262
TA-00437,0.122
TA-00438,0.122
TA-00439,0.122
TA-00440,0.387
TA-00441,0.324
TA-00442,0.166
TA-00443,0.387
TA-00444,0.403
TA-00445,0.324
TA-00446,0.11
TA-00447,0.11
TA-00448,0.11
TA-00449,0.11
TA-00450,0
TA-00451,0
TA-00452,0.11
TA-00453,0.018
TA-00454,0.034
TA-00455,0.172
TA-00456,0.403
TA-00457,1.094
TA-00458,0.162
TA-00459,0.162
TA-00460,0.162
TA-00461,0.162
TA-00462,0
TA-00463,0
TA-00464,0
TA-00465,0
TA-00466,0
TA-00467,0.048
TA-00468,0.048
TA-00469,0.197
TA-00470,0.042
TA-00471,0.042
TA-00472,0.042
TA-00473,0.045
TA-00474,0.042
TA-00475,0.042
TA-00476,0.172
TA-00477,0.613
TA-00478,0.387
TA-00479,0.173
TA-00480,0.173
TA-00481,0.221
TA-00482,0.021
TA-00483,0.021
TA-00484,0.067
TA-00485,0.068
TA-00486,0
TA-00487,0.11
TA-00488,0.112
TA-00489,0.112
TA-00490,0.112
TA-00491,0.112
TA-00492,0.112
TA-00493,0.112
TA-00494,0.112
TA-00495,0.112
TA-00496,0.1
TA-00497,0.1
TA-00498,0.112
TA-00499,0.112
TA-00500,0.162
TA-00501,0.11
TA-00502,0.11
TA-00503,0.11
TA-00504,0.11
TA-00505,0.076
TA-00506,0.076
TA-00507,0
TA-00508,0.08
TA-00509,0.08
TA-00510,0.21
TA-00511,0.096
TA-00512,0.124
TA-00513,0.25
TA-00514,0.124
TA-00515,0.25
TA-00516,0.166
TA-00517,0
TA-00518,0
TA-00519,0
TA-00520,0
TA-00521,0
TA-00522,1.854
TA-00523,0.061
TA-00524,0.061
TA-00525,0.042
TA-00526,0.042
TA-00527,0.048
TA-00528,0.048
TA-00529,0.076
TA-00530,0.395
TA-00531,0.145
TA-00532,0.557
TA-00533,0.145
TA-00534,0.225
TA-00535,0.11
TA-00536,0.122
TA-00537,0.122
TA-00538,0.298
TA-00539,0.298
TA-00540,1.218
TA-00541,0.028
TA-00542,0.028
TA-00543,0.064
TA-00544,0.042
TA-00545,0.06
TA-00546,0.08
TA-00547,0.11
TA-00548,0.096
TA-00549,0
TA-00550,0.122
TA-00551,0.122
TA-00552,0.158
TA-00553,0.158
TA-00554,0.207
TA-00555,0.2
TA-00556,0.042
TA-00557,1.017
TA-00558,0.21
TA-00559,0.21
TA-00560,0.088
TA-00561,0.088
TA-00562,0.048
TA-00563,0.024
TA-00564,0.221
TA-00565,0.221
TA-00566,0.486
TA-00567,0.028
TA-00568,0.158
TA-00569,0.21
TA-00570,0.136
TA-00571,0.162
TA-00572,0.076
TA-00573,0.158
TA-00574,0.158
TA-00575,0.124
TA-00576,0.124
TA-00577,0.166
TA-00578,0.061
TA-00579,0.061
TA-00580,0.122
TA-00581,0.122
TA-00582,0.096
TA-00583,0.096
TA-00584,0.096
TA-00585,0.096
TA-00586,0.042
TA-00587,0.113
TA-00588,0.45
TA-00589,0.158
TA-00590,0.631
TA-00591,2.447
TA-00592,0.018
TA-00593,0.018
TA-00594,0.018
TA-00595,0.042
TA-00596,4.75
TA-00597,0.221
TA-00598,0.221
TA-00599,0.194
TA-00600,0
TA-00601,0
TA-00602,0.192
TA-00603,0.194
TA-00604,0.106
TA-00605,0.069
TA-00606,0.11
TA-00607,0.11
TA-00608,0
TA-00609,0
TA-00610,0.048
TA-00611,0.048
TA-00612,0.861
TA-00613,0.268
TA-00614,0.042
TA-00615,0.174
TA-00616,0.042
TA-00617,0.042
TA-00618,0.042
TA-00619,0
TA-00620,0.042
TA-00621,0.096
TA-00622,0.096
TA-00623,0.096
TA-00624,0.096
TA-00625,0.096
TA-00626,0.096
TA-00627,0.173
TA-00628,0.164
TA-00629,0.122
TA-00630,0.122
TA-00631,0
TA-00632,0
TA-00633,0.042
TA-00634,0.042
TA-00635,0.042
TA-00636,0.042
TA-00637,0
TA-00638,0
TA-00639,0.042
TA-00640,0.042
TA-00641,0.096
TA-00642,0.096
TA-00643,0.042
TA-00644,0.069
TA-00645,0.069
TA-00646,2.682
TA-00647,2.62
TA-00648,0.388
TA-00649,0.388
TA-00650,0.042
TA-00651,0.058
TA-00652,0.2
TA-00653,1.64
TA-00654,0.11
TA-00655,0
TA-00656,0
TA-00657,0
TA-00658,0
TA-00659,0.136
TA-00660,0.158
TA-00661,0.112
TA-00662,0.112
TA-00663,0.048
TA-00664,0.048
TA-00665,0.048
TA-00666,0.11
TA-00667,0.048
TA-00668,0.11
TA-00669,0.048
TA-00670,7.26
TA-00671,0.61
TA-00672,1.64
TA-00673,0.569
TA-00674,0.569
TA-00675,0
TA-00676,0.13
TA-00677,0.324
TA-00678,0.21
TA-00679,0.112
TA-00680,0.112
TA-00681,0.112
TA-00682,0.112
TA-00683,0.55
TA-00684,0.165
TA-00685,0.122
TA-00686,0.112
TA-00687,0.112
TA-00688,0
TA-00689,0.173
TA-00690,0.332
TA-00691,0.048
TA-00692,1.854
TA-00693,4.489
TA-00694,3.289
TA-00695,0.046
TA-00696,0.046
TA-00697,0.475
TA-00698,0.061
TA-00699,0.042
TA-00700,0.042
TA-00701,0
TA-00702,0
TA-00703,0
TA-00704,0.11
TA-00705,1
TA-00706,2.56
TA-00707,0.018
TA-00708,0.018
TA-00709,0.124
TA-00710,0.096
TA-00711,1.516
TA-00712,0.55
TA-00713,0.324
TA-00714,0.324
TA-00715,0.953
TA-00716,0.953
TA-00717,0.098
TA-00718,0.21
TA-00719,0.21
TA-00720,0.187
TA-00721,0.09
TA-00722,1.23
TA-00723,0.112
TA-00724,0.112
TA-00725,0.112
TA-00726,0.112
TA-00727,0.096
TA-00728,0.098
TA-00729,0.034
TA-00730,0.048
TA-00731,0.098
TA-00732,3.124
TA-00733,0.042
TA-00734,2.88
TA-00735,0.122
TA-00736,0.21
TA-00737,0.21
TA-00738,0.45
TA-00739,0.72
TA-00740,0.124
TA-00741,0.124
TA-00742,0.124
TA-00743,0.324
TA-00744,0.21
TA-00745,0.652
TA-00746,0.926
TA-00747,0.926
TA-00748,0.965
TA-00749,0.042
TA-00750,0.124
TA-00751,0.124
TA-00752,0.168
TA-00753,0.018
TA-00754,0.018
TA-00755,0.018
TA-00756,0.018
TA-00757,0.018
TA-00758,0.018
TA-00759,0.096
TA-00760,0.096
TA-00761,0.098
TA-00762,0.124
TA-00763,0.173
TA-00764,0.124
TA-00765,0.173
TA-00766,0.096
TA-00767,0.1
TA-00768,0.098
TA-00769,0.173
TA-00770,0.324
TA-00771,0.042
TA-00772,0.042
TA-00773,0.042
TA-00774,0.098
TA-00775,0.098
TA-00776,0.042
TA-00777,0.042
TA-00778,0.275
TA-00779,1.017
TA-00780,0
TA-00781,0.897
TA-00782,0.657
TA-00783,0.382
TA-00784,0.382
TA-00785,2.67
TA-00786,0.096
TA-00787,0.028
TA-00788,0.124
TA-00789,0.387
TA-00790,0.387
TA-00791,0
TA-00792,0.124
TA-00793,0.033
TA-00794,0.4
TA-00795,0.219
TA-00796,0
TA-00797,0.381
TA-00798,0.11
TA-00799,0.11
TA-00800,0.11
TA-00801,0.014
TA-00802,0.274
TA-00803,0.11
TA-00804,0.192
TA-00805,0
TA-00806,0.116
TA-00807,0
TA-00808,0.61
TA-00809,0.093
TA-00810,0.09
TA-00811,0.061
TA-00812,0.905
TA-00813,0.042
TA-00814,0.388
TA-00815,0.388
TA-00816,0.11
TA-00817,0.11
TA-00818,0.11
TA-00819,0.11
TA-00820,0
TA-00821,0.048
TA-00822,0.048
TA-00823,0
TA-00824,0.11
TA-00825,2.82
TA-00826,0.838
TA-00827,0.042
TA-00828,0.387
TA-00829,0.042
TA-00830,0.042
TA-00831,0.081
TA-00832,0.046
TA-00833,0.018
TA-00834,0.21
TA-00835,0.21
TA-00836,0.11
TA-00837,0.042
TA-00838,0.124
TA-00839,0.124
TA-00840,0.11
TA-00841,0
TA-00842,0
TA-00843,0.116
TA-00844,0.21
TA-00845,0.387
TA-00846,0.122
TA-00847,0.324
TA-00848,0.084
TA-00849,0.324
TA-00850,0.042
TA-00851,0.081
TA-00852,0.09
TA-00853,0.607
TA-00854,0.984
TA-00855,0.042
TA-00856,0
TA-00857,0.45
TA-00858,0.028
TA-00859,0.112
TA-00860,0.076
TA-00861,0
TA-00862,0.52
TA-00863,2.009
TA-00864,0.376
TA-00865,0.042
TA-00866,0.084
TA-00867,4.676
TA-00868,5.187
TA-00869,0.047
TA-00870,0.104
TA-00871,0.262
TA-00872,0.076
TA-00873,0.475
TA-00874,0.72
TA-00875,0.018
TA-00876,0.112
TA-00877,0.112
TA-00878,0.112
TA-00879,0.112
TA-00880,0.042
TA-00881,0.042
TA-00882,0.042
TA-00883,0.048
TA-00884,0.048
TA-00885,0.376
TA-00886,0.376
TA-00887,0.122
TA-00888,0.122
TA-00889,0.122
TA-00890,0.122
TA-00891,0.122
TA-00892,0.042
TA-00893,0.042
TA-00894,0.042
TA-00895,0.112
TA-00896,0.042
TA-00897,0.042
TA-00898,0.096
TA-00899,0.042
TA-00900,0.076
TA-00901,0.076
TA-00902,0.076
TA-00903,0.11
TA-00904,0.11
TA-00905,0.11
TA-00906,0.091
TA-00907,0.014
TA-00908,0.042
TA-00909,0.041
TA-00910,0.018
TA-00911,0
TA-00912,0
TA-00913,0.098
TA-00914,0.018
TA-00915,0.018
TA-00916,0.122
TA-00917,0.048
TA-00918,0.048
TA-00919,0.048
TA-00920,0.652
TA-00921,0.21
TA-00922,0.332
TA-00923,0.018
TA-00924,0.018
TA-00925,0.11
TA-00926,0.11
TA-00927,1.2
TA-00928,0.35
TA-00929,0.162
TA-00930,0.042
TA-00931,0
TA-00932,0.096
TA-00933,0.113
TA-00934,0.113
TA-00935,1.009
TA-00936,1.009
TA-00937,0.042
TA-00938,0.096
TA-00939,1.255
TA-00940,1.255
TA-00941,0
TA-00942,0
TA-00943,0.11
TA-00944,
TA-00945,0.042
TA-00946,0.042
TA-00947,0.405
TA-00948,0.233
TA-00949,0.233
TA-00950,0.407
TA-00951,0.042
TA-00952,0.044
TA-00953,0.7
TA-00954,0.7
TA-00955,0.11
TA-00956,0.079
TA-00957,0.04
TA-00958,
TA-00959,0.557
TA-00960,0.225
TA-00961,0.076
TA-00962,0.014
TA-00963,0.173
TA-00964,0.287
TA-00965,0.191
TA-00966,0.11
TA-00967,0.11
TA-00968,0.009
TA-00969,0.11
TA-00970,0.582
TA-00971,0.042
TA-00972,0.042
TA-00973,0.042
TA-00974,0.096
TA-00975,0.096
TA-00976,0.147
TA-00977,0.096
TA-00978,0.042
TA-00979,0.048
TA-00980,0.022
TA-00981,0.098
TA-00982,0.098
TA-00983,0.21
TA-00984,0.324
TA-00985,0.042
TA-00986,0.722
TA-00987,0.722
TA-00988,0.324
TA-00989,0.324
TA-00990,0.387
TA-00991,0.387
TA-00992,0.43
TA-00993,0.387
TA-00994,0.096
TA-00995,0.096
TA-00996,0.042
TA-00997,0.43
TA-00998,0.122
TA-00999,0.061
TA-01000,0.063
TA-01001,
TA-01002,0
TA-01003,0
TA-01004,0.289
TA-01005,0.289
TA-01006,0.061
TA-01007,0.042
TA-01008,0.061
TA-01009,0.08
TA-01010,0.048
TA-01011,0.048
TA-01012,0.028
TA-01013,0.028
TA-01014,0.042
TA-01015,
TA-01016,0.227
TA-01017,0
TA-01018,0
TA-01019,0.207
TA-01020,0.09
TA-01021,0.262
TA-01022,0.262
TA-01023,0.118
TA-01024,0.277
TA-01025,0.067
TA-01026,0.067
TA-01027,0.042
TA-01028,0.042
TA-01029,0.042
TA-01030,0.042
TA-01031,0.042
TA-01032,0.042
TA-01033,0.098
TA-01034,0.042
TA-01035,0.042
TA-01036,0.028
TA-01037,0.062
TA-01038,0.314
TA-01039,0.953
TA-01040,0.387
TA-01041,0.042
TA-01042,0.042
TA-01043,0.042
TA-01044,0.042
TA-01045,0.166
TA-01046,0.166
TA-01047,0.124
TA-01048,0.124
TA-01049,0.11
TA-01050,0.211
TA-01051,0.018
TA-01052,0.122
TA-01053,0.122
TA-01054,0.324
TA-01055,0.042
TA-01056,0.042
TA-01057,0.152
TA-01058,0.152
TA-01059,0
TA-01060,0
TA-01061,0.162
TA-01062,0.162
TA-01063,0.42
TA-01064,0.685
TA-01065,0.635
TA-01066,0.096
TA-01067,0.262
TA-01068,0.042
TA-01069,2.62
TA-01070,0.2
TA-01071,0.21
TA-01072,0.21
TA-01073,0.21
TA-01074,0.21
TA-01075,0.11
TA-01076,0.146
TA-01077,0.11
TA-01078,0.11
TA-01079,0.11
TA-01080,0.11
TA-01081,0.11
TA-01082,0.201
TA-01083,0
TA-01084,0
TA-01085,0
TA-01086,0
TA-01087,0
TA-01088,0.096
TA-01089,0.096
TA-01090,0.096
TA-01091,0.076
TA-01092,0
TA-01093,0.166
TA-01094,0.628
TA-01095,0.11
TA-01096,0.11
TA-01097,0.076
TA-01098,0.012
TA-01099,0.042
TA-01100,0.1
TA-01101,0.1
TA-01102,0.1
TA-01103,0.1
TA-01104,0.076
TA-01105,0.018
TA-01106,0
TA-01107,0
TA-01108,0
TA-01109,0
TA-01110,0
TA-01111,0
TA-01112,0
TA-01113,0
TA-01114,0
TA-01115,0.262
TA-01116,0.382
TA-01117,0.945
TA-01118,0.124
TA-01119,0
TA-01120,0
TA-01121,0.124
TA-01122,0.124
TA-01123,0.061
TA-01124,0.042
TA-01125,0.324
TA-01126,0.042
TA-01127,
TA-01128,0.028
TA-01129,0.324
TA-01130,0.112
TA-01131,0.07
TA-01132,0.07
TA-01133,0
TA-01134,0.136
TA-01135,0.387
TA-01136,0.052
TA-01137,0.052
TA-01138,0.018
TA-01139,0.018
TA-01140,0.018
TA-01141,0.076
TA-01142,2.627
TA-01143,1.005
TA-01144,0.018
TA-01145,0.018
TA-01146,0.018
TA-01147,0.018
TA-01148,0.021
TA-01149,0.381
TA-01150,2.443
TA-01151,0
TA-01152,0.122
TA-01153,0
TA-01154,0
TA-01155,0.631
TA-01156,0
TA-01157,
TA-01158,0
TA-01159,0
TA-01160,0
TA-01161,0
TA-01162,0.028
TA-01163,
TA-01164,1.5
TA-01165,0.048
TA-01166,
TA-01167,0.122
TA-01168,0.028
TA-01169,0.24
TA-01170,0.096
TA-01171,0.122
TA-01172,0.042
TA-01173,0.028
TA-01174,0.018
TA-01175,0.018
TA-01176,0.018
TA-01177,0.042
TA-01178,0.042
TA-01179,0.018
TA-01180,0.018
TA-01181,0.018
TA-01182,0.018
TA-01183,0.018
TA-01184,0.018
TA-01185,0.018
TA-01186,0.018
TA-01187,0.096
TA-01188,0.096
TA-01189,0.096
TA-01190,0.096
TA-01191,0.028
TA-01192,0.01
TA-01193,0.033
TA-01194,0.4
TA-01195,0.042
TA-01196,0.4
TA-01197,0.076
TA-01198,0.076
TA-01199,0.122
TA-01200,0.096
TA-01201,0.122
TA-01202,0.122
TA-01203,0.122
TA-01204,0.94
TA-01205,0.018
TA-01206,0.098
TA-01207,0.098
TA-01208,0.014
TA-01209,0.024
TA-01210,0.122
TA-01211,0.042
TA-01212,0.042
TA-01213,0.076
TA-01214,0.11
TA-01215,0.1
TA-01216,2.627
TA-01217,0.028
TA-01218,0.028
TA-01219,0.083
TA-01220,0.124
TA-01221,0.124
TA-01222,0.208
TA-01223,0.208
TA-01224,0.088
TA-01225,0.657
TA-01226,0
TA-01227,0.096
TA-01228,0.028
TA-01229,3.7
TA-01230,0.08
TA-01231,0.27
TA-01232,0.28
TA-01233,0.096
TA-01234,0.096
TA-01235,0.096
TA-01236,0.096
TA-01237,0.018
TA-01238,0
TA-01239,0
TA-01240,0
TA-01241,0
TA-01242,0.382
TA-01243,0.336
TA-01244,0.387
TA-01245,0
TA-01246,0.042
TA-01247,0.048
TA-01248,0.048
TA-01249,0.028
TA-01250,0.028
TA-01251,0.028
TA-01252,0.028
TA-01253,0.411
TA-01254,0.098
TA-01255,0
TA-01256,0
TA-01257,0.277
TA-01258,0.118
TA-01259,0.098
TA-01260,0.009
TA-01261,0.028
TA-01262,0.028
TA-01263,0.028
TA-01264,0.028
TA-01265,0.018
TA-01266,0.018
TA-01267,0.018
TA-01268,0.018
TA-01269,0.018
TA-01270,0.186
TA-01271,0.042
TA-01272,0.098
TA-01273,0.018
TA-01274,0.042
TA-01275,0.042
TA-01276,0.042
TA-01277,0.021
TA-01278,0.018
TA-01279,0.192
TA-01280,0.042
TA-01281,0.085
TA-01282,0.085
TA-01283,0.018
TA-01284,0.018
TA-01285,0.018
TA-01286,0.018
TA-01287,0.018
TA-01288,0.018
TA-01289,
TA-01290,0.174
TA-01291,0.157
TA-01292,0.096
TA-01293,0.117
TA-01294,0.166
TA-01295,0.081
TA-01296,0.105
TA-01297,0.1
TA-01298,0.387
TA-01299,0.387
TA-01300,0.244
TA-01301,0.324
TA-01302,0.387
TA-01303,0.387
TA-01304,0.122
TA-01305,0.096
TA-01306,0.042
TA-01307,0.02
TA-01308,0.096
TA-01309,1.347
TA-01310,0.162
TA-01311,1.218
TA-01312,0.387
TA-01313,0.387
TA-01314,0.028
TA-01315,0.117
TA-01316,0.127
TA-01317,9.99
TA-01318,9.99
TA-01319,9.99
TA-01320,0.192
TA-01321,0.192
TA-01322,0.192
TA-01323,0.192
TA-01324,0.093
TA-01325,0.018
TA-01326,0.009
TA-01327,0.009
TA-01328,0.045
TA-01329,0.324
TA-01330,0
TA-01331,0
TA-01332,0
TA-01333,1.835
TA-01334,0.009
TA-01335,0.009
TA-01336,0.009
TA-01337,0.096
TA-01338,0.166
TA-01339,0
TA-01340,
TA-01341,0.455
TA-01342,0.114
TA-01343,0.018
TA-01344,0.018
TA-01345,0.018
TA-01346,0.018
TA-01347,0.018
TA-01348,0.018
TA-01349,0.018
TA-01350,0.018
TA-01351,0.018
TA-01352,0.018
TA-01353,0.018
TA-01354,0.018
TA-01355,0.018
TA-01356,0.018
TA-01357,0.018
TA-01358,0.018
TA-01359,0.166
TA-01360,0.166
TA-01361,0.23
TA-01362,0.232
TA-01363,0.232
TA-01364,0.2
TA-01365,0.121
TA-01366,0
TA-01367,0
TA-01368,0
TA-01369,0.07
TA-01370,0.042
TA-01371,0
TA-01372,0.353
TA-01373,0.122
TA-01374,0.042
TA-01375,0.042
TA-01376,0.042
TA-01377,0.348
TA-01378,0.028
TA-01379,0.028
TA-01380,0.028
TA-01381,0.028
TA-01382,0.028
TA-01383,0.028
TA-01384,0.067
TA-01385,
TA-01386,0.324
TA-01387,0.486
TA-01388,1.889
TA-01389,0.118
TA-01390,0.114
TA-01391,0.395
TA-01392,0.395
TA-01393,0.387
TA-01394,0.27
TA-01395,0.028
TA-01396,0.028
TA-01397,0.219
TA-01398,0
TA-01399,0.042
TA-01400,0.042
TA-01401,0.042
TA-01402,0.042
TA-01403,0.042
TA-01404,0.042
TA-01405,0.042
TA-01406,0.042
TA-01407,0.122
TA-01408,0.122
TA-01409,0.609
TA-01410,0
TA-01411,0.045
TA-01412,0
TA-01413,0.2
TA-01414,
TA-01415,0
TA-01416,0
TA-01417,0.042
TA-01418,0.192
TA-01419,0.192
TA-01420,0.192
TA-01421,0.192
TA-01422,0.192
TA-01423,0.076
TA-01424,0.076
TA-01425,0.166
TA-01426,0.121
TA-01427,0.11
TA-01428,0.256
TA-01429,0.042
TA-01430,0.096
TA-01431,0.096
TA-01432,0.096
TA-01433,0.1
TA-01434,0.1
TA-01435,0.098
TA-01436,0.098
TA-01437,0.098
TA-01438,0.098
TA-01439,0.098
TA-01440,0
TA-01441,0.042
TA-01442,0.042
TA-01443,0.042
TA-01444,0.042
TA-01445,0.08
TA-01446,0.06
TA-01447,0.009
TA-01448,0.009
TA-01449,0.009
TA-01450,0.014
TA-01451,0
