,tube_assembly_id,material_id,diameter,wall,length,num_bends,bend_radius,end_a_1x,end_a_2x,end_x_1x,end_x_2x,end_a,end_x,num_boss,num_bracket,other
140,TA-00141,SP-0035,9.52,0.89,205.0,8,19.05,N,N,N,N,EF-001,EF-003,0,0,0
141,TA-00142,SP-0035,12.7,0.89,182.0,8,25.4,N,N,N,N,EF-017,EF-003,0,0,0
142,TA-00143,SP-0029,38.1,3.05,130.0,2,76.2,N,N,N,N,EF-012,EF-012,0,0,0
143,TA-00144,SP-0029,41.28,1.65,83.0,2,101.6,N,N,N,N,EF-012,EF-012,0,0,0
144,TA-00145,SP-0039,6.35,0.71,180.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
145,TA-00146,SP-0039,6.35,0.71,184.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
146,TA-00147,SP-0039,6.35,0.71,189.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
147,TA-00148,SP-0039,6.35,0.71,144.0,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0
148,TA-00149,SP-0039,6.35,0.71,144.0,5,19.05,N,N,N,N,EF-008,EF-008,0,0,0
149,TA-00150,SP-0039,6.35,0.71,144.0,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0
150,TA-00151,SP-0029,9.52,0.89,93.0,5,19.05,N,N,N,N,EF-008,EF-008,0,0,0
151,TA-00152,SP-0035,19.05,1.24,0.0,0,0.0,Y,Y,Y,Y,EF-003,NONE,0,0,0
152,TA-00153,SP-0029,9.52,1.24,29.0,3,31.75,N,N,N,N,EF-003,EF-003,0,0,0
153,TA-00154,SP-0029,22.22,2.11,0.0,4,38.1,N,N,N,N,EF-003,EF-003,0,0,0
154,TA-00155,SP-0028,9.52,0.89,85.0,10,31.75,N,N,N,N,NONE,EF-003,0,0,0
155,TA-00156,SP-0035,6.35,0.89,0.0,2,19.05,N,N,N,N,EF-018,EF-018,0,0,0
156,TA-00157,SP-0029,25.4,2.41,70.0,5,50.8,N,N,N,Y,EF-003,EF-003,0,0,0
157,TA-00158,SP-0029,15.88,1.65,217.0,5,50.8,N,N,N,N,EF-003,EF-003,0,0,0
158,TA-00159,SP-0029,25.4,2.41,57.0,2,63.5,N,N,N,N,EF-003,EF-003,0,0,0
159,TA-00160,SP-0029,15.88,1.65,238.0,5,50.8,N,N,N,N,EF-003,EF-003,0,0,0
160,TA-00161,SP-0029,9.52,1.24,58.0,3,31.75,N,N,N,N,EF-003,EF-003,0,0,0
161,TA-00162,SP-0035,12.7,0.89,91.0,3,19.05,N,N,N,N,NONE,NONE,0,0,0
162,TA-00163,SP-0035,9.52,0.89,23.0,2,19.05,N,N,N,N,EF-018,EF-018,0,0,0
163,TA-00164,SP-0035,12.7,0.89,53.0,2,25.4,N,N,N,Y,EF-018,EF-018,0,0,0
164,TA-00165,SP-0028,12.7,0.89,73.0,1,152.4,N,N,N,N,NONE,NONE,0,1,0
165,TA-00166,SP-0028,50.8,1.65,94.0,3,101.6,N,Y,N,N,NONE,NONE,1,0,0
166,TA-00167,SP-0035,25.4,1.65,189.0,8,50.8,N,N,N,N,EF-018,EF-018,0,0,0
167,TA-00168,SP-0029,9.52,0.89,93.0,5,19.05,N,N,N,N,EF-008,EF-008,0,0,0
168,TA-00169,SP-0035,6.35,0.89,41.0,4,19.05,N,N,N,N,EF-018,EF-018,0,0,0
169,TA-00170,SP-0029,15.88,1.65,35.0,2,38.1,N,N,N,N,EF-003,EF-003,0,0,0
170,TA-00171,SP-0029,22.22,2.41,58.0,3,38.1,N,N,N,N,EF-003,EF-003,0,0,0
171,TA-00172,SP-0029,22.22,2.41,58.0,3,38.1,N,N,N,N,EF-003,EF-003,0,0,0
172,TA-00173,SP-0029,15.88,1.65,55.0,3,38.1,N,N,N,N,EF-003,EF-003,0,0,0
173,TA-00174,SP-0029,25.4,2.41,116.0,3,63.5,N,N,N,N,EF-003,EF-003,0,0,0
174,TA-00175,SP-0035,12.7,1.24,35.0,3,38.1,N,N,N,N,EF-003,EF-018,0,0,0
175,TA-00176,SP-0035,12.7,1.24,56.0,3,38.1,N,N,N,N,EF-003,EF-018,0,0,0
176,TA-00177,SP-0039,6.35,0.71,45.0,2,19.05,N,N,N,N,EF-008,EF-008,0,0,0
177,TA-00178,SP-0035,15.88,1.65,53.0,3,50.8,N,N,N,N,EF-018,EF-003,0,0,0
178,TA-00179,SP-0028,6.35,0.89,23.0,2,19.05,N,N,N,N,EF-003,EF-003,0,0,0
179,TA-00180,SP-0029,9.52,1.24,199.0,1,31.75,N,N,N,N,EF-003,EF-003,0,0,0
180,TA-00181,SP-0029,9.52,0.89,74.0,2,19.05,N,N,N,N,EF-003,EF-003,0,0,0
181,TA-00182,SP-0029,12.7,0.89,55.0,3,25.4,N,N,N,N,EF-003,EF-003,0,0,0
182,TA-00183,SP-0029,15.88,1.24,50.0,4,31.75,N,Y,N,N,EF-003,EF-003,0,0,0
183,TA-00184,SP-0029,15.88,1.65,131.0,6,38.1,N,N,N,N,EF-003,EF-003,0,0,0
184,TA-00185,SP-0029,15.88,1.65,115.0,4,38.1,N,N,N,N,EF-003,EF-003,0,0,0
185,TA-00186,SP-0035,6.35,0.89,109.0,8,12.7,N,N,N,N,EF-018,EF-018,0,0,0
186,TA-00187,SP-0028,6.35,0.89,40.0,2,19.05,N,N,N,N,EF-003,EF-003,0,0,0
187,TA-00188,SP-0019,6.35,0.71,62.0,2,19.05,N,N,N,N,EF-008,EF-008,0,0,0
188,TA-00189,SP-0019,6.35,0.71,176.0,8,19.05,N,N,N,N,EF-008,EF-018,0,0,0
189,TA-00190,SP-0019,6.35,0.71,70.0,7,19.05,N,N,N,N,EF-008,EF-008,0,0,0
190,TA-00191,SP-0019,6.35,0.71,131.0,7,19.05,N,N,N,N,EF-008,EF-008,0,0,0
191,TA-00192,SP-0019,6.35,0.71,96.0,8,19.05,N,N,N,N,EF-008,EF-008,0,0,0
192,TA-00193,SP-0028,9.52,0.89,85.0,10,31.75,N,N,N,N,NONE,EF-003,0,0,0
193,TA-00194,SP-0029,15.88,1.65,183.0,7,31.75,N,N,N,N,EF-003,EF-003,0,0,0
194,TA-00195,SP-0029,15.88,1.65,191.0,7,31.75,N,N,N,N,EF-003,EF-003,0,0,0
195,TA-00196,SP-0029,15.88,1.65,153.0,6,31.75,N,N,N,N,EF-003,EF-003,0,0,0
196,TA-00197,SP-0029,15.88,1.65,156.0,6,31.75,N,N,N,N,EF-003,EF-003,0,0,0
197,TA-00198,SP-0029,12.7,0.89,62.0,0,0.0,N,N,N,N,EF-003,EF-003,1,0,0
198,TA-00199,SP-0035,6.35,0.89,160.0,8,19.05,N,N,N,N,EF-018,EF-018,0,0,0
199,TA-00200,SP-0035,12.7,0.89,53.0,2,25.4,N,N,N,Y,EF-018,EF-018,0,0,0
200,TA-00201,SP-0035,25.4,1.65,73.0,4,50.8,N,N,N,N,EF-018,EF-018,0,0,0
201,TA-00202,SP-0035,25.4,1.65,139.0,3,50.8,N,N,N,N,EF-018,EF-018,0,0,0
202,TA-00203,SP-0029,9.52,1.65,52.0,2,31.75,N,N,N,N,EF-003,EF-003,0,0,0
203,TA-00204,SP-0028,15.88,1.24,65.0,3,50.8,N,N,N,Y,EF-003,EF-003,0,0,0
204,TA-00205,SP-0029,25.4,1.65,23.0,1,50.8,N,N,N,Y,EF-003,EF-003,0,0,0
205,TA-00206,SP-0035,15.88,1.65,125.0,6,38.1,N,N,N,N,EF-018,EF-018,0,0,0
206,TA-00207,SP-0035,15.88,1.65,187.0,9,38.1,N,N,N,N,EF-018,EF-018,0,0,0
207,TA-00208,SP-0035,15.88,1.65,148.0,7,38.1,N,N,N,N,EF-018,EF-018,0,0,0
208,TA-00209,SP-0035,12.7,1.65,121.0,6,38.1,N,N,N,N,EF-018,EF-018,0,0,0
209,TA-00210,SP-0035,15.88,1.65,114.0,6,38.1,N,N,N,N,EF-018,EF-018,0,0,0
210,TA-00211,SP-0035,15.88,1.65,91.0,3,38.1,N,N,N,N,EF-018,EF-018,0,0,0
211,TA-00212,SP-0035,15.88,1.65,158.0,6,38.1,N,N,N,N,EF-018,EF-018,0,0,0
212,TA-00213,SP-0035,15.88,1.65,171.0,8,38.1,N,N,N,N,EF-018,EF-018,0,0,0
213,TA-00214,SP-0035,15.88,1.65,104.0,5,38.1,N,N,N,N,EF-018,EF-018,0,0,0
214,TA-00215,SP-0035,12.7,1.65,134.0,7,38.1,N,N,N,N,EF-018,EF-018,0,0,0
215,TA-00216,SP-0035,15.88,1.24,28.0,1,38.1,N,N,N,N,EF-018,EF-018,0,0,0
216,TA-00217,SP-0029,44.45,3.05,118.0,2,101.6,N,N,N,N,EF-012,EF-012,0,0,0
217,TA-00218,SP-0035,6.35,0.89,171.0,8,19.05,N,N,N,N,EF-018,EF-018,0,0,0
218,TA-00219,SP-0035,6.35,0.89,161.0,8,19.05,N,N,N,N,EF-018,EF-018,0,0,0
219,TA-00220,SP-0029,12.7,0.89,68.0,2,31.8,N,N,N,N,EF-001,EF-003,0,0,0
220,TA-00221,SP-0029,15.88,2.41,23.0,2,31.75,N,Y,N,N,EF-003,EF-003,0,0,0
221,TA-00222,SP-0029,9.52,0.89,24.0,1,31.75,N,N,N,N,EF-003,EF-003,0,0,0
222,TA-00223,SP-0029,15.88,1.65,31.0,1,38.1,N,N,N,N,EF-003,EF-003,0,0,0
223,TA-00224,SP-0028,9.52,0.89,24.0,2,31.75,N,N,N,N,EF-003,EF-003,0,0,0
224,TA-00225,SP-0028,31.75,1.65,25.0,2,38.1,N,Y,N,Y,EF-009,EF-009,0,0,0
225,TA-00226,SP-0029,12.7,0.89,52.0,2,38.1,N,N,N,N,EF-003,EF-003,0,0,0
226,TA-00227,SP-0029,6.35,0.71,32.0,3,19.05,N,N,N,N,EF-003,EF-003,0,0,0
227,TA-00228,SP-0035,12.7,1.65,202.0,8,38.1,N,N,N,N,EF-018,EF-018,0,0,0
228,TA-00229,SP-0028,50.8,1.65,105.0,3,101.6,N,N,N,Y,NONE,NONE,1,0,1
229,TA-00230,SP-0035,12.7,1.65,192.0,8,38.1,N,N,N,N,EF-018,EF-018,0,0,0
230,TA-00231,SP-0029,25.4,2.41,66.0,3,50.8,N,N,N,N,EF-003,EF-003,0,0,0
231,TA-00232,SP-0029,25.4,1.24,205.0,6,50.8,N,N,N,N,EF-003,EF-003,0,0,0
232,TA-00233,SP-0029,12.7,1.24,188.0,10,25.4,N,Y,N,N,EF-003,EF-003,0,0,0
233,TA-00234,SP-0029,9.52,1.24,21.0,2,19.05,N,N,N,N,EF-003,EF-003,0,0,0
234,TA-00235,SP-0029,12.7,1.24,190.0,10,25.4,N,Y,N,N,EF-003,EF-003,0,0,0
235,TA-00236,SP-0029,25.4,2.41,193.0,3,63.5,N,N,N,N,EF-003,EF-003,0,0,0
236,TA-00237,SP-0029,15.88,1.65,11.0,1,38.1,N,N,N,N,EF-003,EF-003,0,0,0
237,TA-00238,SP-0035,15.88,1.65,99.0,5,38.1,N,N,N,N,EF-018,EF-018,0,0,0
238,TA-00239,SP-0035,15.88,1.65,89.0,4,38.1,N,N,N,N,EF-018,EF-018,0,0,0
239,TA-00240,SP-0028,25.4,1.65,83.0,5,50.8,N,N,N,N,EF-003,EF-009,0,0,0
240,TA-00241,SP-0029,9.52,0.71,124.0,8,25.4,N,N,N,N,EF-008,EF-015,0,0,0
241,TA-00242,SP-0029,9.52,0.71,117.0,7,25.4,N,N,N,N,EF-008,EF-019,0,0,0
242,TA-00243,SP-0029,9.52,0.71,121.0,8,25.4,N,N,N,N,EF-008,EF-017,0,0,0
243,TA-00244,SP-0029,9.52,0.71,113.0,7,25.4,N,N,N,N,EF-008,EF-017,0,0,0
244,TA-00245,SP-0028,6.35,0.89,68.0,7,12.7,N,N,N,N,EF-003,EF-003,0,0,0
245,TA-00246,SP-0037,6.35,0.89,52.0,6,12.7,N,N,N,N,EF-003,EF-003,0,0,0
