tube_assembly_id,material_id,diameter,wall,length,num_bends,bend_radius,end_a_1x,end_a_2x,end_x_1x,end_x_2x,end_a,end_x,num_boss,num_bracket,other,forming_a,forming_x
TA-00080,SP-0039,6.35,0.71,125.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00081,SP-0039,6.35,0.71,121.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00082,SP-0039,6.35,0.71,103.0,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00083,SP-0039,6.35,0.71,103.0,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00084,SP-0039,6.35,0.71,132.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00085,SP-0039,6.35,0.71,128.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00086,SP-0039,6.35,0.71,83.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00087,SP-0039,6.35,0.71,86.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00088,SP-0046,21.7,2.8,131.0,6,55.0,N,N,N,N,EF-021,EF-021,0,0,0,No,No
TA-00089,SP-0039,6.35,0.71,94.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00090,SP-0039,6.35,0.71,122.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00091,SP-0039,6.35,0.71,125.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00092,SP-0039,6.35,0.71,129.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00093,SP-0039,6.35,0.71,132.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00094,SP-0039,6.35,0.71,122.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00095,SP-0039,6.35,0.71,106.0,2,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00096,SP-0039,6.35,0.71,106.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00097,SP-0029,9.52,1.65,96.0,5,19.05,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00098,SP-0028,25.4,1.65,124.0,9,50.8,N,Y,N,N,EF-003,EF-003,0,0,0,No,No
TA-00099,SP-0029,22.22,3.05,182.0,5,50.8,N,N,N,N,NONE,NONE,1,0,0,No,No
TA-00100,SP-0029,9.52,0.89,41.0,3,19.05,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00101,SP-0028,6.35,0.89,94.0,2,76.2,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00102,SP-0035,6.35,0.89,40.0,2,19.05,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00103,SP-0029,152.4,1.65,35.0,0,0.0,N,N,N,N,EF-003,NONE,0,0,0,No,No
TA-00104,SP-0028,12.7,0.89,68.0,2,25.4,N,N,N,Y,EF-003,EF-003,0,0,0,No,No
TA-00105,SP-0029,41.28,1.65,83.0,2,101.6,N,N,N,N,EF-012,EF-012,0,0,0,No,No
TA-00106,SP-0029,63.5,1.65,38.0,1,101.6,N,N,Y,Y,EF-017,EF-017,0,0,0,Yes,Yes
TA-00107,SP-0035,15.88,1.65,138.0,7,38.1,N,N,N,N,EF-018,EF-003,0,0,0,Yes,No
TA-00108,SP-0029,25.4,3.05,31.0,2,63.5,N,Y,N,N,EF-003,EF-023,0,0,0,No,No
TA-00109,SP-0029,25.4,3.05,67.0,2,63.5,N,N,N,N,EF-003,EF-023,0,0,0,No,No
TA-00110,SP-0028,25.4,1.65,31.0,2,50.8,N,N,N,Y,EF-009,EF-003,0,0,0,Yes,No
TA-00111,SP-0029,25.4,2.41,58.0,2,63.5,N,N,N,N,EF-012,EF-012,0,0,0,No,No
TA-00112,SP-0028,6.35,0.89,66.0,3,19.05,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00113,SP-0029,6.35,0.71,44.0,3,19.05,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00114,SP-0035,6.35,0.89,138.0,4,19.05,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00115,SP-0035,6.35,0.89,50.0,4,19.05,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00116,SP-0035,6.35,0.89,20.0,2,19.05,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00117,SP-0035,15.88,1.24,31.0,2,38.1,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00118,SP-0029,12.7,0.89,116.0,5,38.1,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00119,SP-0029,9.52,0.89,68.0,3,31.75,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00120,SP-0029,9.52,0.89,43.0,2,31.75,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00121,SP-0029,9.52,0.89,43.0,2,31.75,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00122,SP-0029,9.52,0.89,44.0,2,31.75,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00123,SP-0029,19.05,1.24,159.0,3,38.1,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00124,SP-0019,6.35,0.71,29.0,2,19.05,N,N,N,N,NONE,EF-008,0,0,0,No,Yes
TA-00125,SP-0029,25.4,2.41,44.0,2,63.5,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00126,SP-0029,19.05,2.11,70.0,3,50.8,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00127,SP-0029,9.52,0.89,19.0,1,31.75,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00128,SP-0029,9.52,0.89,128.0,10,31.75,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00129,SP-0028,6.35,0.89,94.0,2,38.0,Y,Y,Y,Y,EF-003,EF-003,0,0,0,No,No
TA-00130,SP-0028,6.35,0.89,149.0,4,38.1,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00131,SP-0029,25.4,2.41,63.0,2,63.5,N,Y,N,N,EF-003,EF-003,0,0,0,No,No
TA-00132,SP-0029,19.05,2.11,72.0,2,38.1,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00133,SP-0029,19.05,2.11,99.0,3,50.8,N,Y,N,N,EF-003,EF-003,0,0,0,No,No
TA-00134,SP-0029,19.05,2.11,99.0,3,50.8,N,Y,N,N,EF-003,EF-003,0,0,0,No,No
TA-00135,SP-0028,9.52,0.89,75.0,1,127.0,N,N,N,N,NONE,NONE,0,1,0,No,No
TA-00136,SP-0029,9.52,0.89,31.0,2,19.05,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00137,SP-0028,31.75,1.65,23.0,2,38.1,N,Y,N,Y,EF-009,EF-009,0,0,0,Yes,Yes
TA-00138,SP-0028,25.4,1.65,39.0,2,50.8,N,N,N,Y,EF-009,EF-003,0,0,0,Yes,No
TA-00139,SP-0028,57.15,1.65,222.0,5,114.3,N,N,N,N,EF-009,EF-009,0,0,0,Yes,Yes
TA-00140,SP-0028,57.15,1.65,89.0,2,101.6,N,N,N,Y,NONE,NONE,0,0,0,No,No
TA-00141,SP-0035,9.52,0.89,205.0,8,19.05,N,N,N,N,EF-001,EF-003,0,0,0,Yes,No
TA-00142,SP-0035,12.7,0.89,182.0,8,25.4,N,N,N,N,EF-017,EF-003,0,0,0,Yes,No
TA-00143,SP-0029,38.1,3.05,130.0,2,76.2,N,N,N,N,EF-012,EF-012,0,0,0,No,No
TA-00144,SP-0029,41.28,1.65,83.0,2,101.6,N,N,N,N,EF-012,EF-012,0,0,0,No,No
TA-00145,SP-0039,6.35,0.71,180.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00146,SP-0039,6.35,0.71,184.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00147,SP-0039,6.35,0.71,189.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00148,SP-0039,6.35,0.71,144.0,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00149,SP-0039,6.35,0.71,144.0,5,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00150,SP-0039,6.35,0.71,144.0,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00151,SP-0029,9.52,0.89,93.0,5,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00152,SP-0035,19.05,1.24,0.0,0,0.0,Y,Y,Y,Y,EF-003,NONE,0,0,0,No,No
TA-00153,SP-0029,9.52,1.24,29.0,3,31.75,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00154,SP-0029,22.22,2.11,0.0,4,38.1,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00155,SP-0028,9.52,0.89,85.0,10,31.75,N,N,N,N,NONE,EF-003,0,0,0,No,No
TA-00156,SP-0035,6.35,0.89,0.0,2,19.05,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00157,SP-0029,25.4,2.41,70.0,5,50.8,N,N,N,Y,EF-003,EF-003,0,0,0,No,No
TA-00158,SP-0029,15.88,1.65,217.0,5,50.8,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00159,SP-0029,25.4,2.41,57.0,2,63.5,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00160,SP-0029,15.88,1.65,238.0,5,50.8,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00161,SP-0029,9.52,1.24,58.0,3,31.75,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00162,SP-0035,12.7,0.89,91.0,3,19.05,N,N,N,N,NONE,NONE,0,0,0,No,No
TA-00163,SP-0035,9.52,0.89,23.0,2,19.05,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00164,SP-0035,12.7,0.89,53.0,2,25.4,N,N,N,Y,EF-018,EF-018,0,0,0,Yes,Yes
TA-00165,SP-0028,12.7,0.89,73.0,1,152.4,N,N,N,N,NONE,NONE,0,1,0,No,No
TA-00166,SP-0028,50.8,1.65,94.0,3,101.6,N,Y,N,N,NONE,NONE,1,0,0,No,No
TA-00167,SP-0035,25.4,1.65,189.0,8,50.8,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00168,SP-0029,9.52,0.89,93.0,5,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00169,SP-0035,6.35,0.89,41.0,4,19.05,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00170,SP-0029,15.88,1.65,35.0,2,38.1,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00171,SP-0029,22.22,2.41,58.0,3,38.1,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00172,SP-0029,22.22,2.41,58.0,3,38.1,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00173,SP-0029,15.88,1.65,55.0,3,38.1,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00174,SP-0029,25.4,2.41,116.0,3,63.5,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00175,SP-0035,12.7,1.24,35.0,3,38.1,N,N,N,N,EF-003,EF-018,0,0,0,No,Yes
TA-00176,SP-0035,12.7,1.24,56.0,3,38.1,N,N,N,N,EF-003,EF-018,0,0,0,No,Yes
TA-00177,SP-0039,6.35,0.71,45.0,2,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00178,SP-0035,15.88,1.65,53.0,3,50.8,N,N,N,N,EF-018,EF-003,0,0,0,Yes,No
TA-00179,SP-0028,6.35,0.89,23.0,2,19.05,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00180,SP-0029,9.52,1.24,199.0,1,31.75,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00181,SP-0029,9.52,0.89,74.0,2,19.05,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00182,SP-0029,12.7,0.89,55.0,3,25.4,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00183,SP-0029,15.88,1.24,50.0,4,31.75,N,Y,N,N,EF-003,EF-003,0,0,0,No,No
TA-00184,SP-0029,15.88,1.65,131.0,6,38.1,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00185,SP-0029,15.88,1.65,115.0,4,38.1,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00186,SP-0035,6.35,0.89,109.0,8,12.7,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00187,SP-0028,6.35,0.89,40.0,2,19.05,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00188,SP-0019,6.35,0.71,62.0,2,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00189,SP-0019,6.35,0.71,176.0,8,19.05,N,N,N,N,EF-008,EF-018,0,0,0,Yes,Yes
TA-00190,SP-0019,6.35,0.71,70.0,7,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00191,SP-0019,6.35,0.71,131.0,7,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00192,SP-0019,6.35,0.71,96.0,8,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00193,SP-0028,9.52,0.89,85.0,10,31.75,N,N,N,N,NONE,EF-003,0,0,0,No,No
TA-00194,SP-0029,15.88,1.65,183.0,7,31.75,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00195,SP-0029,15.88,1.65,191.0,7,31.75,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00196,SP-0029,15.88,1.65,153.0,6,31.75,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00197,SP-0029,15.88,1.65,156.0,6,31.75,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00198,SP-0029,12.7,0.89,62.0,0,0.0,N,N,N,N,EF-003,EF-003,1,0,0,No,No
TA-00199,SP-0035,6.35,0.89,160.0,8,19.05,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00200,SP-0035,12.7,0.89,53.0,2,25.4,N,N,N,Y,EF-018,EF-018,0,0,0,Yes,Yes
TA-00201,SP-0035,25.4,1.65,73.0,4,50.8,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00202,SP-0035,25.4,1.65,139.0,3,50.8,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00203,SP-0029,9.52,1.65,52.0,2,31.75,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00204,SP-0028,15.88,1.24,65.0,3,50.8,N,N,N,Y,EF-003,EF-003,0,0,0,No,No
TA-00205,SP-0029,25.4,1.65,23.0,1,50.8,N,N,N,Y,EF-003,EF-003,0,0,0,No,No
TA-00206,SP-0035,15.88,1.65,125.0,6,38.1,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00207,SP-0035,15.88,1.65,187.0,9,38.1,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00208,SP-0035,15.88,1.65,148.0,7,38.1,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00209,SP-0035,12.7,1.65,121.0,6,38.1,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00210,SP-0035,15.88,1.65,114.0,6,38.1,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00211,SP-0035,15.88,1.65,91.0,3,38.1,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00212,SP-0035,15.88,1.65,158.0,6,38.1,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00213,SP-0035,15.88,1.65,171.0,8,38.1,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00214,SP-0035,15.88,1.65,104.0,5,38.1,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00215,SP-0035,12.7,1.65,134.0,7,38.1,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00216,SP-0035,15.88,1.24,28.0,1,38.1,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00217,SP-0029,44.45,3.05,118.0,2,101.6,N,N,N,N,EF-012,EF-012,0,0,0,No,No
TA-00218,SP-0035,6.35,0.89,171.0,8,19.05,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00219,SP-0035,6.35,0.89,161.0,8,19.05,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00220,SP-0029,12.7,0.89,68.0,2,31.8,N,N,N,N,EF-001,EF-003,0,0,0,Yes,No
TA-00221,SP-0029,15.88,2.41,23.0,2,31.75,N,Y,N,N,EF-003,EF-003,0,0,0,No,No
TA-00222,SP-0029,9.52,0.89,24.0,1,31.75,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00223,SP-0029,15.88,1.65,31.0,1,38.1,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00224,SP-0028,9.52,0.89,24.0,2,31.75,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00225,SP-0028,31.75,1.65,25.0,2,38.1,N,Y,N,Y,EF-009,EF-009,0,0,0,Yes,Yes
TA-00226,SP-0029,12.7,0.89,52.0,2,38.1,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00227,SP-0029,6.35,0.71,32.0,3,19.05,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00228,SP-0035,12.7,1.65,202.0,8,38.1,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00229,SP-0028,50.8,1.65,105.0,3,101.6,N,N,N,Y,NONE,NONE,1,0,1,No,No
TA-00230,SP-0035,12.7,1.65,192.0,8,38.1,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
